2pf_1.0_GHz	2pf_1.0_GHz	2pf_2.0_GHz	2pf_2.0_GHz	2pf_3.0_GHz	2pf_3.0_GHz	2pf_4.0_GHz	2pf_4.0_GHz	2pf_5.0_GHz	2pf_5.0_GHz	2pf_6.0_GHz	2pf_6.0_GHz	2pf_7.0_GHz	2pf_7.0_GHz	2pf_8.0_GHz	2pf_8.0_GHz	2pf_9.0_GHz	2pf_9.0_GHz	2pf_10.0_GHz	2pf_10.0_GHz	2pf_11.0_GHz	2pf_11.0_GHz	2pf_12.0_GHz	2pf_12.0_GHz	2pf_13.0_GHz	2pf_13.0_GHz	2pf_14.0_GHz	2pf_14.0_GHz	2pf_15.0_GHz	2pf_15.0_GHz	2pf_16.0_GHz	2pf_16.0_GHz	2pf_17.0_GHz	2pf_17.0_GHz
1.090800E+3	16.394740E-6	1.094600E+3	5.039975E-6	1.100300E+3	87.669020E-9	1.095500E+3	-1.707309E-6	1.098700E+3	-12.564340E-6	1.103200E+3	-6.880515E-6	1.092800E+3	-2.634415E-6	1.095400E+3	-2.687874E-6	1.095800E+3	-2.442751E-6	1.103600E+3	-516.701467E-9	1.096200E+3	2.053333E-6	1.095300E+3	91.425353E-9	1.097800E+3	-408.852467E-9	1.096700E+3	-153.017267E-9	1.103400E+3	641.250133E-9	1.096900E+3	154.724667E-9	1.096900E+3	251.458800E-9
1.150200E+3	16.239030E-6	1.154900E+3	4.782185E-6	1.148800E+3	-109.896592E-9	1.155300E+3	-1.666329E-6	1.154300E+3	-12.948233E-6	1.147300E+3	-7.206851E-6	1.150200E+3	-2.521354E-6	1.155500E+3	-2.676884E-6	1.150200E+3	-2.621501E-6	1.152800E+3	-596.298400E-9	1.155300E+3	2.126533E-6	1.154300E+3	84.502447E-9	1.146600E+3	-349.930733E-9	1.148800E+3	-117.161180E-9	1.151500E+3	559.076533E-9	1.151000E+3	242.642200E-9	1.157100E+3	178.287133E-9
1.197300E+3	16.633910E-6	1.198800E+3	4.826640E-6	1.197400E+3	-349.806533E-9	1.208800E+3	-1.861846E-6	1.197500E+3	-12.974313E-6	1.196700E+3	-7.041699E-6	1.204400E+3	-2.633300E-6	1.204000E+3	-2.458023E-6	1.210800E+3	-2.720408E-6	1.200900E+3	-652.363933E-9	1.210300E+3	2.069537E-6	1.208400E+3	38.525939E-9	1.200500E+3	-403.730067E-9	1.203000E+3	-107.909820E-9	1.208000E+3	549.980733E-9	1.207500E+3	222.090667E-9	1.206200E+3	231.527867E-9
1.252000E+3	15.723430E-6	1.253600E+3	4.445418E-6	1.258400E+3	-481.682667E-9	1.258300E+3	-2.241024E-6	1.252700E+3	-12.669947E-6	1.256600E+3	-7.044181E-6	1.252800E+3	-2.441632E-6	1.257300E+3	-2.696255E-6	1.260100E+3	-2.844273E-6	1.254900E+3	-560.846133E-9	1.253900E+3	1.956970E-6	1.255000E+3	22.631297E-9	1.260500E+3	-333.601600E-9	1.256200E+3	-88.103607E-9	1.252100E+3	501.210533E-9	1.263100E+3	183.161000E-9	1.261400E+3	267.353533E-9
1.305900E+3	14.413210E-6	1.307800E+3	4.669308E-6	1.305200E+3	-844.031200E-9	1.305200E+3	-2.720347E-6	1.307600E+3	-12.463273E-6	1.305500E+3	-6.909450E-6	1.301100E+3	-2.440577E-6	1.304100E+3	-2.523279E-6	1.312000E+3	-2.959385E-6	1.306900E+3	-603.687000E-9	1.312400E+3	1.992175E-6	1.313300E+3	-112.131753E-9	1.307100E+3	-314.447333E-9	1.308500E+3	-69.880613E-9	1.310000E+3	461.255200E-9	1.305400E+3	224.946667E-9	1.304700E+3	245.808667E-9
1.348300E+3	14.821870E-6	1.355400E+3	4.654656E-6	1.353700E+3	-1.167266E-6	1.365200E+3	-3.076235E-6	1.362100E+3	-12.214607E-6	1.357700E+3	-6.928821E-6	1.359600E+3	-2.435981E-6	1.364900E+3	-2.566615E-6	1.360500E+3	-2.526505E-6	1.361900E+3	-751.953600E-9	1.367400E+3	1.851228E-6	1.366600E+3	-106.357687E-9	1.367100E+3	-280.795467E-9	1.361400E+3	-74.226845E-9	1.357900E+3	379.360600E-9	1.362200E+3	175.058600E-9	1.359000E+3	361.758467E-9
1.406700E+3	14.114450E-6	1.410700E+3	4.173348E-6	1.414300E+3	-807.211933E-9	1.413700E+3	-3.671601E-6	1.412300E+3	-11.617693E-6	1.414000E+3	-6.705180E-6	1.407300E+3	-2.535137E-6	1.413400E+3	-2.453428E-6	1.413700E+3	-2.499126E-6	1.415300E+3	-521.791867E-9	1.410900E+3	1.750645E-6	1.419800E+3	-162.361467E-9	1.415700E+3	-352.507467E-9	1.409900E+3	-57.121447E-9	1.418900E+3	419.097133E-9	1.410400E+3	181.143000E-9	1.419500E+3	203.557200E-9
1.462500E+3	14.403890E-6	1.467500E+3	3.860168E-6	1.463000E+3	-1.105054E-6	1.463100E+3	-4.617775E-6	1.468300E+3	-10.830713E-6	1.468800E+3	-6.502897E-6	1.469000E+3	-2.199178E-6	1.461700E+3	-2.509743E-6	1.467500E+3	-2.400405E-6	1.464500E+3	-532.595533E-9	1.472100E+3	1.781255E-6	1.470200E+3	-279.802133E-9	1.469400E+3	-397.304067E-9	1.469100E+3	-15.366909E-9	1.468100E+3	472.834933E-9	1.466700E+3	222.711267E-9	1.463500E+3	208.865867E-9
1.510200E+3	15.278990E-6	1.512000E+3	3.272931E-6	1.523200E+3	-1.313855E-6	1.519000E+3	-5.132423E-6	1.523300E+3	-9.535623E-6	1.515800E+3	-6.451363E-6	1.517200E+3	-2.189555E-6	1.511500E+3	-2.340553E-6	1.516600E+3	-2.524955E-6	1.518300E+3	-395.441333E-9	1.515400E+3	1.847875E-6	1.517300E+3	-316.682533E-9	1.517900E+3	-380.415933E-9	1.523600E+3	-100.707560E-9	1.516600E+3	435.208933E-9	1.522500E+3	228.361533E-9	1.518000E+3	224.946733E-9
1.564800E+3	15.084880E-6	1.565300E+3	3.376369E-6	1.571200E+3	-1.713455E-6	1.572500E+3	-5.961549E-6	1.573000E+3	-8.828561E-6	1.569200E+3	-5.980610E-6	1.565800E+3	-2.263190E-6	1.571100E+3	-2.283307E-6	1.578400E+3	-2.402144E-6	1.566700E+3	-355.705000E-9	1.571400E+3	1.825337E-6	1.570800E+3	-182.043533E-9	1.571900E+3	-352.569467E-9	1.577700E+3	-232.583600E-9	1.572300E+3	439.741733E-9	1.572500E+3	281.788933E-9	1.567800E+3	226.654200E-9
