Hx,Hx_2f_voltage,Hy,Hy_2f_voltage
-815.2,5.780936E-6,-3029,1.148288E-5
-872.5,6.197423E-6,-3095.9,1.054599E-5
-928.2,6.711513E-6,-3163,9.919391E-6
-985.2,7.480425E-6,-3230.9,9.293168E-6
-1042.7,2.024781E-5,-3298.6,8.561519E-6
-1099.3,7.271214E-5,-3366.1,8.034018E-6
-1156.5,1.770625E-4,-4164.2,5.102559E-6
-1211.5,2.886611E-4,-4959,3.781187E-6
-1269.5,3.547209E-4,,
-1326.5,3.667671E-4,,
-1383.4,3.445882E-4,,
-1440.8,3.093141E-4,,
-1496,2.753157E-4,,
-1552.6,2.443981E-4,,
-1609.4,2.165089E-4,,
-1666.8,1.919995E-4,,
-1723.9,1.705E-4,,
-1779.4,1.519213E-4,,
-1836.9,1.349638E-4,,
-1893.8,1.191441E-4,,
-1951,1.061324E-4,,
-2006.4,9.484342E-5,,
-2064.3,8.460927E-5,,
-2120.5,7.56924E-5,,
-2176.9,6.797957E-5,,
-2233.9,6.118449E-5,,
-2287.9,5.573057E-5,,
-2345.2,5.062841E-5,,
-2402.5,4.633092E-5,,
-2460,4.240298E-5,,
-2517.1,3.895782E-5,,
-2573.1,3.610275E-5,,
-2629.1,3.362915E-5,,
-2685.9,3.110787E-5,,
-2743.3,2.912297E-5,,
-2800.5,2.726922E-5,,
-2856.4,2.561223E-5,,
-2914.4,2.416384E-5,,
-2970.9,2.283466E-5,,
-3028.2,2.161276E-5,,
-3083.1,2.042066E-5,,
-3139.7,1.961598E-5,,
-3197,1.863852E-5,,
-3253.9,1.772058E-5,,
-3310.9,1.707682E-5,,
-3366.6,1.6302E-5,,
-4163.9,1.081237E-5,,
-4958,7.826139E-6,,
