4pf_1.0_GHz	4pf_1.0_GHz	4pf_2.0_GHz	4pf_2.0_GHz	4pf_3.0_GHz	4pf_3.0_GHz	4pf_4.0_GHz	4pf_4.0_GHz	4pf_5.0_GHz	4pf_5.0_GHz	4pf_6.0_GHz	4pf_6.0_GHz	4pf_7.0_GHz	4pf_7.0_GHz	4pf_8.0_GHz	4pf_8.0_GHz	4pf_9.0_GHz	4pf_9.0_GHz	4pf_10.0_GHz	4pf_10.0_GHz	4pf_11.0_GHz	4pf_11.0_GHz	4pf_12.0_GHz	4pf_12.0_GHz	4pf_13.0_GHz	4pf_13.0_GHz	4pf_14.0_GHz	4pf_14.0_GHz	4pf_15.0_GHz	4pf_15.0_GHz	4pf_16.0_GHz	4pf_16.0_GHz	4pf_17.0_GHz	4pf_17.0_GHz
1.101700E+3	19.473447E-6	1.097500E+3	15.298600E-6	1.103200E+3	-2.449765E-6	1.102000E+3	-15.904620E-6	1.095500E+3	-16.492720E-6	1.094500E+3	21.628653E-6	1.103100E+3	13.522360E-6	1.103300E+3	7.776471E-6	1.098300E+3	5.769760E-6	1.097000E+3	4.657139E-6	1.105700E+3	3.590207E-6	1.102700E+3	2.922629E-6	1.098500E+3	3.280257E-6	1.096400E+3	1.722583E-6	1.103200E+3	3.006075E-6	1.100000E+3	2.396121E-6	1.105200E+3	1.408665E-6
1.146500E+3	18.133593E-6	1.147400E+3	18.503380E-6	1.152000E+3	739.101200E-9	1.157500E+3	-16.568213E-6	1.154700E+3	-13.023680E-6	1.151800E+3	24.062520E-6	1.147500E+3	12.592513E-6	1.147400E+3	8.372523E-6	1.152900E+3	6.121425E-6	1.156200E+3	4.577667E-6	1.150100E+3	3.884257E-6	1.147400E+3	3.467024E-6	1.158400E+3	3.564376E-6	1.156100E+3	2.302739E-6	1.147200E+3	1.698743E-6	1.153600E+3	2.668315E-6	1.159000E+3	1.859674E-6
1.201400E+3	18.867487E-6	1.203200E+3	21.879000E-6	1.206600E+3	927.851200E-9	1.206800E+3	-18.068280E-6	1.198400E+3	-9.916284E-6	1.212000E+3	22.518740E-6	1.209900E+3	14.303173E-6	1.212100E+3	7.710902E-6	1.209200E+3	6.357858E-6	1.209900E+3	3.119324E-6	1.203000E+3	2.763685E-6	1.207600E+3	3.298143E-6	1.207300E+3	2.296779E-6	1.209500E+3	3.242512E-6	1.201000E+3	3.542524E-6	1.202000E+3	1.112626E-6	1.202400E+3	2.068293E-6
1.251600E+3	16.078473E-6	1.253700E+3	25.463220E-6	1.254800E+3	-409.287800E-9	1.255300E+3	-18.324587E-6	1.263500E+3	-4.857807E-6	1.257000E+3	21.706127E-6	1.264800E+3	14.062787E-6	1.256400E+3	7.245975E-6	1.252700E+3	5.751879E-6	1.264900E+3	5.392262E-6	1.259900E+3	4.122678E-6	1.256300E+3	3.298142E-6	1.256100E+3	3.524641E-6	1.253300E+3	1.806031E-6	1.262000E+3	3.459076E-6	1.263000E+3	2.580897E-6	1.258200E+3	941.758467E-9
1.302900E+3	12.529947E-6	1.307400E+3	24.604913E-6	1.303100E+3	1.768282E-6	1.308900E+3	-20.454447E-6	1.305900E+3	-1.062955E-6	1.310400E+3	22.904193E-6	1.313400E+3	13.577973E-6	1.310300E+3	7.436716E-6	1.311700E+3	6.427396E-6	1.306400E+3	4.629323E-6	1.311100E+3	4.678994E-6	1.314500E+3	2.936537E-6	1.314300E+3	3.331913E-6	1.312100E+3	3.353775E-6	1.308600E+3	1.446413E-6	1.305200E+3	2.342476E-6	1.312000E+3	2.217307E-6
1.356900E+3	9.175447E-6	1.357100E+3	29.005713E-6	1.367300E+3	2.030547E-6	1.363800E+3	-21.368380E-6	1.359500E+3	3.240524E-6	1.360300E+3	21.914753E-6	1.357700E+3	14.432320E-6	1.365500E+3	7.637386E-6	1.366800E+3	6.246597E-6	1.359300E+3	4.128640E-6	1.359500E+3	3.176943E-6	1.358100E+3	3.161049E-6	1.357500E+3	1.964977E-6	1.359500E+3	4.237918E-6	1.363600E+3	2.288831E-6	1.365500E+3	1.575558E-6	1.360300E+3	1.033153E-6
1.416300E+3	4.212333E-6	1.412800E+3	32.385427E-6	1.416200E+3	617.905687E-9	1.408200E+3	-18.580873E-6	1.414900E+3	7.706928E-6	1.416100E+3	21.543213E-6	1.419400E+3	14.974720E-6	1.413300E+3	7.911572E-6	1.415400E+3	5.610813E-6	1.414800E+3	5.046556E-6	1.420000E+3	3.846509E-6	1.419000E+3	3.486888E-6	1.413100E+3	2.942497E-6	1.409600E+3	2.572949E-6	1.411600E+3	3.081577E-6	1.412700E+3	3.327939E-6	1.420500E+3	1.311308E-6
1.470500E+3	-1.595427E-6	1.469500E+3	32.816567E-6	1.461400E+3	2.721959E-6	1.468900E+3	-17.827867E-6	1.463800E+3	11.102415E-6	1.472200E+3	22.687640E-6	1.475100E+3	12.924327E-6	1.470300E+3	8.555311E-6	1.472200E+3	7.641360E-6	1.471500E+3	5.559157E-6	1.468900E+3	4.867739E-6	1.472800E+3	2.847131E-6	1.462600E+3	2.805406E-6	1.471700E+3	3.014023E-6	1.468300E+3	1.394755E-6	1.469400E+3	1.951067E-6	1.470000E+3	3.383577E-6
1.518600E+3	-8.260009E-6	1.519900E+3	37.575000E-6	1.518400E+3	2.934551E-6	1.513900E+3	-15.310520E-6	1.518600E+3	13.357453E-6	1.515300E+3	21.062400E-6	1.518700E+3	15.280727E-6	1.525500E+3	9.173213E-6	1.520200E+3	5.881022E-6	1.526300E+3	4.233941E-6	1.524200E+3	3.782926E-6	1.516400E+3	3.290191E-6	1.528100E+3	2.616661E-6	1.525800E+3	3.067667E-6	1.517400E+3	2.813355E-6	1.518100E+3	2.078227E-6	1.518200E+3	2.016634E-6
1.579100E+3	-17.907820E-6	1.568100E+3	39.822093E-6	1.574400E+3	4.418719E-6	1.572600E+3	-9.356002E-6	1.575800E+3	16.896047E-6	1.569800E+3	20.887587E-6	1.574400E+3	13.826347E-6	1.569000E+3	8.893070E-6	1.576500E+3	6.061822E-6	1.576100E+3	4.750513E-6	1.572600E+3	5.008807E-6	1.571900E+3	3.737233E-6	1.578300E+3	2.988194E-6	1.581100E+3	2.235185E-6	1.577900E+3	2.402082E-6	1.571500E+3	2.060345E-6	1.572300E+3	1.502046E-6
1.628600E+3	-27.516100E-6	1.619800E+3	41.381753E-6	1.630800E+3	8.140059E-6	1.621400E+3	-4.174337E-6	1.630800E+3	18.535193E-6	1.627000E+3	21.940587E-6	1.625500E+3	12.983927E-6	1.624700E+3	9.437459E-6	1.621400E+3	6.681711E-6	1.626000E+3	5.537301E-6	1.629300E+3	4.251822E-6	1.628800E+3	3.465030E-6	1.622300E+3	3.067669E-6	1.624300E+3	3.592192E-6	1.622400E+3	796.719933E-9	1.621700E+3	1.738478E-6	1.633300E+3	2.415990E-6
1.677400E+3	-39.872527E-6	1.681700E+3	44.276553E-6	1.674500E+3	10.420939E-6	1.682800E+3	2.286845E-6	1.674400E+3	21.269027E-6	1.683100E+3	20.241860E-6	1.676400E+3	14.253527E-6	1.680800E+3	8.805649E-6	1.680800E+3	7.275783E-6	1.682500E+3	5.501538E-6	1.677800E+3	4.933307E-6	1.677100E+3	3.004089E-6	1.682100E+3	2.694145E-6	1.684900E+3	2.976277E-6	1.675700E+3	2.757723E-6	1.686100E+3	2.068293E-6	1.682600E+3	2.622619E-6
1.732900E+3	-56.752827E-6	1.732500E+3	46.028927E-6	1.736000E+3	15.272800E-6	1.731100E+3	9.828863E-6	1.730000E+3	24.875120E-6	1.739300E+3	20.074980E-6	1.731900E+3	14.124387E-6	1.736600E+3	7.770507E-6	1.729000E+3	6.212821E-6	1.731200E+3	5.853206E-6	1.727200E+3	5.308817E-6	1.738600E+3	2.847130E-6	1.738600E+3	3.749153E-6	1.729300E+3	1.525887E-6	1.730700E+3	2.086175E-6	1.736100E+3	2.127898E-6	1.736600E+3	2.602751E-6
1.781900E+3	-72.813733E-6	1.787800E+3	45.395133E-6	1.784900E+3	23.726747E-6	1.778200E+3	16.999347E-6	1.785200E+3	25.536727E-6	1.781700E+3	22.111460E-6	1.781200E+3	11.599113E-6	1.784500E+3	9.111621E-6	1.783900E+3	7.941372E-6	1.790700E+3	4.688928E-6	1.786800E+3	4.746545E-6	1.791500E+3	3.431261E-6	1.779800E+3	2.698119E-6	1.789000E+3	3.236551E-6	1.790100E+3	1.168257E-6	1.777800E+3	2.056373E-6	1.779400E+3	2.169621E-6
1.835200E+3	-96.644660E-6	1.835700E+3	47.113733E-6	1.833400E+3	30.543607E-6	1.834000E+3	26.085100E-6	1.840800E+3	27.638793E-6	1.837600E+3	19.506727E-6	1.836900E+3	14.480020E-6	1.832600E+3	7.736728E-6	1.839500E+3	7.937398E-6	1.839500E+3	5.602865E-6	1.831200E+3	3.592191E-6	1.835300E+3	2.594802E-6	1.840800E+3	2.614673E-6	1.843700E+3	2.793486E-6	1.839500E+3	2.803419E-6	1.833900E+3	2.541157E-6	1.839100E+3	437.103193E-9
1.888400E+3	-127.958067E-6	1.894800E+3	44.822920E-6	1.888500E+3	41.914213E-6	1.890700E+3	33.710627E-6	1.895800E+3	30.374693E-6	1.892300E+3	19.729247E-6	1.892700E+3	13.617747E-6	1.893200E+3	8.704323E-6	1.895000E+3	6.544618E-6	1.890200E+3	6.347925E-6	1.890800E+3	4.768400E-6	1.885000E+3	2.868986E-6	1.888800E+3	3.653782E-6	1.892900E+3	2.648448E-6	1.887400E+3	3.103429E-6	1.894300E+3	2.968328E-6	1.894500E+3	689.431760E-9
1.936900E+3	-157.247933E-6	1.940900E+3	39.555847E-6	1.939200E+3	52.555627E-6	1.939800E+3	39.945280E-6	1.939100E+3	30.658807E-6	1.949300E+3	21.992240E-6	1.949400E+3	14.325040E-6	1.948100E+3	8.930821E-6	1.938300E+3	6.735355E-6	1.947500E+3	4.138571E-6	1.939500E+3	4.468391E-6	1.938100E+3	3.584247E-6	1.938300E+3	2.763682E-6	1.942100E+3	3.258404E-6	1.943500E+3	1.813979E-6	1.938300E+3	1.396742E-6	1.943800E+3	4.200167E-6
1.996400E+3	-187.610467E-6	1.989800E+3	29.762733E-6	1.995600E+3	64.063500E-6	2.001200E+3	46.988560E-6	2.000700E+3	32.433107E-6	1.998300E+3	20.734567E-6	1.991900E+3	14.625060E-6	1.996200E+3	8.533457E-6	1.993600E+3	7.416847E-6	1.995300E+3	5.247226E-6	2.001200E+3	4.394873E-6	1.999600E+3	2.912695E-6	1.994800E+3	2.499433E-6	1.996600E+3	2.541158E-6	2.003400E+3	3.379602E-6	1.999400E+3	2.368303E-6	1.993100E+3	2.102071E-6
2.050000E+3	-209.201333E-6	2.053100E+3	4.738604E-6	2.054500E+3	78.666680E-6	2.052100E+3	52.585460E-6	2.045100E+3	34.938500E-6	2.048900E+3	21.054460E-6	2.048900E+3	14.396587E-6	2.056500E+3	8.734125E-6	2.049600E+3	6.447265E-6	2.052100E+3	5.791615E-6	2.044900E+3	5.253185E-6	2.048700E+3	4.102809E-6	2.055600E+3	4.168380E-6	2.045500E+3	2.014649E-6	2.045900E+3	2.799447E-6	2.053900E+3	2.408042E-6	2.054500E+3	790.760067E-9
2.098100E+3	-217.692933E-6	2.107300E+3	-32.884073E-6	2.110000E+3	92.600253E-6	2.100800E+3	58.329387E-6	2.100500E+3	34.000720E-6	2.105200E+3	22.943940E-6	2.109800E+3	13.822367E-6	2.106400E+3	8.724191E-6	2.098300E+3	7.563877E-6	2.106100E+3	4.448521E-6	2.099100E+3	4.714753E-6	2.098000E+3	4.804163E-6	2.099900E+3	2.517316E-6	2.107600E+3	3.896178E-6	2.097400E+3	2.596790E-6	2.108200E+3	2.167637E-6	2.108300E+3	2.463672E-6
2.159900E+3	-218.670600E-6	2.156100E+3	-78.239487E-6	2.155100E+3	102.826433E-6	2.157700E+3	64.669520E-6	2.157600E+3	37.420033E-6	2.161600E+3	21.861133E-6	2.159700E+3	15.632420E-6	2.162200E+3	8.191714E-6	2.155000E+3	6.427397E-6	2.162400E+3	6.165136E-6	2.155100E+3	4.432627E-6	2.154900E+3	2.461685E-6	2.155500E+3	3.021971E-6	2.156300E+3	3.667692E-6	2.152500E+3	3.141180E-6	2.157500E+3	2.002727E-6	2.162200E+3	2.290817E-6
2.203800E+3	-210.804533E-6	2.211800E+3	-128.331467E-6	2.210700E+3	116.072467E-6	2.202800E+3	70.020020E-6	2.208600E+3	39.563793E-6	2.205200E+3	23.494287E-6	2.214500E+3	14.154167E-6	2.206000E+3	8.583127E-6	2.215400E+3	7.404925E-6	2.206000E+3	5.946586E-6	2.204500E+3	4.464413E-6	2.204400E+3	3.951812E-6	2.205400E+3	4.341234E-6	2.216800E+3	2.920643E-6	2.217000E+3	1.990807E-6	2.206200E+3	2.743813E-6	2.209100E+3	2.815341E-6
2.263500E+3	-196.088400E-6	2.255000E+3	-166.371400E-6	2.264900E+3	122.792333E-6	2.255900E+3	74.017520E-6	2.266700E+3	38.935980E-6	2.259700E+3	24.261187E-6	2.257000E+3	14.452187E-6	2.260400E+3	10.166627E-6	2.257800E+3	9.111622E-6	2.265000E+3	4.907480E-6	2.263300E+3	4.168376E-6	2.256100E+3	4.448522E-6	2.258800E+3	2.606725E-6	2.264100E+3	3.860413E-6	2.265400E+3	1.970938E-6	2.265800E+3	1.964978E-6	2.268300E+3	2.507383E-6
2.306900E+3	-181.046000E-6	2.315500E+3	-190.350400E-6	2.308800E+3	118.639533E-6	2.318300E+3	81.499880E-6	2.317600E+3	42.810280E-6	2.320100E+3	23.734687E-6	2.312200E+3	15.978127E-6	2.314800E+3	9.232817E-6	2.318300E+3	6.520777E-6	2.320400E+3	6.965835E-6	2.317000E+3	5.825390E-6	2.317300E+3	2.855081E-6	2.312900E+3	3.504771E-6	2.318200E+3	3.016009E-6	2.314800E+3	2.495461E-6	2.309100E+3	2.811368E-6	2.317900E+3	137.091400E-9
2.368600E+3	-163.116933E-6	2.369700E+3	-199.378533E-6	2.360000E+3	94.634740E-6	2.369700E+3	89.198800E-6	2.373500E+3	43.724227E-6	2.361000E+3	26.170540E-6	2.368900E+3	14.658827E-6	2.369000E+3	9.304343E-6	2.362800E+3	7.947336E-6	2.370300E+3	6.765157E-6	2.361100E+3	6.039966E-6	2.361800E+3	4.172351E-6	2.362100E+3	3.957774E-6	2.367500E+3	2.078224E-6	2.368200E+3	2.553078E-6	2.371100E+3	2.702092E-6	2.367100E+3	2.843155E-6
