hx,rxx_hx,h45,rxx_h45,hy,rxx_hy
-1416.667,303.825717857246,-1583.333,303.440820377749,-1583.333,301.662426268788
-1333.333,303.829207374638,-1500,303.460827712269,-1500,301.687214496489
-1250,303.836727898551,-1416.667,303.47507804679,-1416.667,301.727391724189
-1166.667,303.846361422464,-1333.333,303.484097384735,-1333.333,301.751746957269
-1083.333,303.838405939855,-1250,303.504990719255,-1250,301.780735184969
-1000,303.832661463768,-1166.667,303.509082053776,-1166.667,301.80976541267
-916.666667,303.827449985509,-1083.333,303.512251391721,-1083.333,301.837305645749
-833.333333,303.835288507244,-1000,303.516055726241,-1000,301.86278387345
-750,303.844420028986,-916.666667,303.531399061902,-916.666667,301.877708102942
-666.666667,303.838392550727,-833.333333,303.533040397566,-833.333333,301.914809332439
-583.333333,303.850797072462,-750,303.540616733227,-750,301.93389256193
-500,303.843609594203,-666.666667,303.551453068888,-666.666667,301.958436791422
-416.666667,303.854940115944,-583.333333,303.557460404552,-583.333333,301.968319020919
-333.333333,303.846940637679,-500,303.558899740213,-500,301.990066250411
-250,303.84978815942,-416.666667,303.568426075874,-416.666667,301.994891479903
-166.666667,303.841638681162,-333.333333,303.564547411538,-333.333333,302.0106197094
-83.333333,303.856348202896,-250,303.574787747199,-250,302.026913938891
-2.8421709E-14,303.846752724638,-166.666667,303.56747908286,-166.666667,302.037076168383
83.333333,303.849437246379,-83.333333,303.580368418524,-83.333333,302.04070139788
166.666667,303.859193768114,-2.8421709E-14,303.569527754185,-2.8421709E-14,302.048460627372
250,303.850613289855,83.333333,303.580115089846,83.333333,302.057824856864
333.333333,303.850657811596,166.666667,303.57417742551,166.666667,302.063475086361
416.666667,303.851297333331,250,303.574849761171,250,302.060453315852
500,303.856909855073,333.333333,303.574076096832,333.333333,302.055744545344
583.333333,303.854095376814,416.666667,303.568912432496,416.666667,302.052451774841
666.666667,303.849760898549,500,303.564951768157,500,302.046425004333
750,303.84691142029,583.333333,303.563759103818,583.333333,302.046520233825
833.333333,303.842166942031,666.666667,303.558305439482,666.666667,302.035042463322
916.666667,303.836434463766,750,303.547771775143,750,302.025412692813
1000,303.837478985507,833.333333,303.531430110804,833.333333,302.016166922305
1083.333,303.82910650942,916.666667,303.532373446468,916.666667,301.999539151802
1166.667,303.826852026812,1000,303.530813782129,1000,301.980883381294
1250,303.838195550725,1083.333,303.530088116649,1083.333,301.965449608995
1333.333,303.838548074638,1166.667,303.508425454594,1166.667,301.941522842074
1416.667,303.828785592029,1250,303.509430789115,1250,301.931457069774
1500,303.835830115942,1333.333,303.511334123635,1333.333,301.909148297475
1583.333,303.837172639855,1416.667,303.49297246158,1416.667,301.880059530554
1666.667,303.816883157246,1500,303.483845796101,1500,301.871367758255
1750,303.81808968116,1583.333,303.461330130621,1583.333,301.831514985955
1833.333,303.826494205073,1666.667,303.439114468566,1666.667,301.813133219035
1916.667,303.805611722464,1750,303.440181803087,1750,301.786369446735
2000,303.819811638074,1833.333,303.440592137607,1833.333,301.772375674436
2083.333,303.824036904599,1916.667,303.419045475552,1916.667,301.741287907515
2166.667,303.831188155671,2000,303.403663810072,2000,301.711227135216
2250,303.824969422196,2083.333,303.403053144593,2083.333,301.706003362917
2333.333,303.819307688721,2166.667,303.392309482538,2166.667,301.675396595996
2416.667,303.819366939793,2250,303.391370817058,2250,301.664614823696
2500,303.821050206319,2333.333,303.378575151579,2333.333,301.649428051397
2583.333,303.823956472844,2416.667,303.376385489524,2416.667,301.639871284476
2666.667,303.820537723916,2500,303.373085824044,2500,301.631688512177
2750,303.819563990441,2583.333,303.372615158565,2583.333,301.610324739878
2833.333,303.822120256966,2666.667,303.37185049651,2666.667,301.614055972957
2916.667,303.820871508038,2750,303.37198283103,2750,301.603965200657
3000,303.818777774564,2833.333,303.368763165551,2833.333,301.596713428358
3083.333,303.819628041089,2916.667,303.368462503496,2916.667,301.584249661437
3166.667,303.817804292161,3000,303.367635838016,3000,301.571188889138
3250,303.821272558686,3083.333,303.375480172537,3083.333,301.564089116839
3333.333,303.813358825211,3166.667,303.363293510482,3166.667,301.558860349918
3416.667,303.814494076283,3250,303.365126845002,3250,301.560413577618
3500,303.812426342808,3333.333,303.364478179523,3333.333,301.547279805319
3583.333,303.817383609333,3416.667,303.368561517467,3416.667,301.535896038398
3666.667,303.815867860406,3500,303.368399851988,3500,301.525361266099
3750,303.805631126931,3583.333,303.362655186509,3583.333,301.524106493799
3833.333,303.816419393456,3666.667,303.368313524453,3666.667,301.509875726879
3916.667,303.805506644528,3750,303.368156858974,3750,301.505868954579
4000,303.818092911053,3833.333,303.364951193495,3833.333,301.49705818228
4083.333,303.821632177578,3916.667,303.365520531439,3916.667,301.487767415359
4166.667,303.818959428651,4000,303.36799386596,4000,301.48038564306
4250,303.811786695176,4083.333,303.366460200481,4083.333,301.464189870761
4333.333,303.805272961701,4166.667,303.367741538425,4166.667,301.46633410384
4416.667,303.824366212773,4250,303.357671872946,4250,301.45157133154
4500,303.816553479298,4333.333,303.362833207467,4333.333,301.444902559241
4583.333,303.819566745823,4416.667,303.352927545411,4416.667,301.43157679232
4666.667,303.813844996896,4500,303.362027879932,4500,301.428353020021
4750,303.808537263421,4583.333,303.362133214453,4583.333,301.422872247722
